iter,seg_idx,node_from,node_to,z_idx,z_time_s,z_time_label,time_s,x_m,y_m,ix,iy,cost,severity,first_in_seg
0,25,25,26,26,5.300,5.300 s,5.300,5.300,4.700,26,23,120,LOW,1
0,26,26,27,26,5.300,5.300 s,5.300,5.300,4.700,26,23,120,LOW,1
0,27,27,28,27,5.500,5.500 s,5.500,5.500,4.700,27,23,120,LOW,1
0,28,28,29,28,5.700,5.700 s,5.700,5.700,4.700,28,23,120,LOW,1
0,29,29,30,29,5.900,5.900 s,5.900,5.900,4.700,29,23,120,LOW,1
0,30,30,31,30,6.100,6.100 s,6.100,6.100,4.700,30,23,120,LOW,1
0,31,31,32,31,6.300,6.300 s,6.300,6.300,4.700,31,23,120,LOW,1
0,32,32,33,32,6.500,6.500 s,6.500,6.500,4.700,32,23,120,LOW,1
0,33,33,34,33,6.700,6.700 s,6.700,6.700,4.700,33,23,120,LOW,1
0,34,34,35,34,6.900,6.900 s,6.900,6.900,4.700,34,23,120,LOW,1
0,35,35,36,35,7.100,7.100 s,7.100,7.100,4.700,35,23,120,LOW,1
0,36,36,37,36,7.300,7.300 s,7.300,7.300,4.700,36,23,120,LOW,1
0,37,37,38,37,7.500,7.500 s,7.500,7.500,4.700,37,23,120,LOW,1
0,38,38,39,38,7.700,7.700 s,7.700,7.700,4.700,38,23,120,LOW,1
1,17,17,18,18,3.700,3.700 s,3.700,5.500,5.100,27,25,120,LOW,1
1,18,18,19,18,3.700,3.700 s,3.700,5.500,5.100,27,25,120,LOW,1
1,19,19,20,19,3.900,3.900 s,3.900,5.700,5.100,28,25,120,LOW,1
1,20,20,21,20,4.100,4.100 s,4.100,5.900,5.100,29,25,120,LOW,1
1,21,21,22,21,4.300,4.300 s,4.300,6.100,5.100,30,25,120,LOW,1
1,22,22,23,22,4.500,4.500 s,4.500,6.300,5.100,31,25,120,LOW,1
1,23,23,24,23,4.700,4.700 s,4.700,6.300,5.100,31,25,120,LOW,1
1,24,24,25,24,4.900,4.900 s,4.900,6.300,4.900,31,24,120,LOW,1
1,25,25,26,25,5.100,5.100 s,5.100,6.300,4.700,31,23,120,LOW,1
1,26,26,27,26,5.300,5.300 s,5.300,6.500,4.700,32,23,120,LOW,1
1,27,27,28,27,5.500,5.500 s,5.500,6.700,4.700,33,23,120,LOW,1
1,28,28,29,28,5.700,5.700 s,5.700,6.900,4.700,34,23,120,LOW,1
1,29,29,30,29,5.900,5.900 s,5.900,7.100,4.700,35,23,120,LOW,1
1,30,30,31,30,6.100,6.100 s,6.100,7.300,4.700,36,23,120,LOW,1
1,31,31,32,31,6.300,6.300 s,6.300,7.500,4.700,37,23,120,LOW,1
1,32,32,33,32,6.500,6.500 s,6.500,7.700,4.700,38,23,120,LOW,1
1,33,33,34,33,6.700,6.700 s,6.700,7.900,4.700,39,23,120,LOW,1
1,34,34,35,34,6.900,6.900 s,6.900,8.100,4.700,40,23,120,LOW,1
1,35,35,36,35,7.100,7.100 s,7.100,8.300,4.700,41,23,120,LOW,1
1,36,36,37,36,7.300,7.300 s,7.300,8.500,4.700,42,23,120,LOW,1
1,37,37,38,37,7.500,7.500 s,7.500,8.700,4.700,43,23,120,LOW,1
2,14,14,15,14,2.900,2.900 s,2.900,5.700,5.100,28,25,120,LOW,1
2,15,15,16,15,3.100,3.100 s,3.100,5.700,5.100,28,25,120,LOW,1
2,16,16,17,16,3.300,3.300 s,3.300,5.900,5.100,29,25,120,LOW,1
2,17,17,18,17,3.500,3.500 s,3.500,6.100,5.100,30,25,120,LOW,1
2,18,18,19,18,3.700,3.700 s,3.700,6.300,5.100,31,25,120,LOW,1
2,19,19,20,19,3.900,3.900 s,3.900,6.300,5.100,31,25,120,LOW,1
2,20,20,21,20,4.100,4.100 s,4.100,6.500,5.100,32,25,120,LOW,1
2,21,21,22,21,4.300,4.300 s,4.300,6.500,4.900,32,24,120,LOW,1
2,22,22,23,22,4.500,4.500 s,4.500,6.700,4.900,33,24,120,LOW,1
2,23,23,24,23,4.700,4.700 s,4.700,6.900,4.900,34,24,120,LOW,1
2,24,24,25,24,4.900,4.900 s,4.900,7.100,4.900,35,24,120,LOW,1
2,25,25,26,25,5.100,5.100 s,5.100,7.300,4.900,36,24,120,LOW,1
2,26,26,27,26,5.300,5.300 s,5.300,7.500,4.900,37,24,120,LOW,1
2,27,27,28,27,5.500,5.500 s,5.500,7.700,4.900,38,24,120,LOW,1
2,28,28,29,28,5.700,5.700 s,5.700,7.900,4.900,39,24,120,LOW,1
2,29,29,30,29,5.900,5.900 s,5.900,8.100,4.900,40,24,120,LOW,1
2,30,30,31,30,6.100,6.100 s,6.100,8.300,4.900,41,24,120,LOW,1
2,31,31,32,31,6.300,6.300 s,6.300,8.500,4.900,42,24,120,LOW,1
2,32,32,33,32,6.500,6.500 s,6.500,8.700,4.900,43,24,120,LOW,1
3,11,11,12,12,2.500,2.500 s,2.500,5.700,5.100,28,25,120,LOW,1
3,12,12,13,12,2.500,2.500 s,2.500,5.700,5.100,28,25,120,LOW,1
3,13,13,14,13,2.700,2.700 s,2.700,5.900,5.100,29,25,120,LOW,1
3,14,14,15,14,2.900,2.900 s,2.900,6.100,5.100,30,25,120,LOW,1
3,15,15,16,15,3.100,3.100 s,3.100,6.300,5.100,31,25,120,LOW,1
3,16,16,17,16,3.300,3.300 s,3.300,6.500,5.100,32,25,120,LOW,1
3,17,17,18,17,3.500,3.500 s,3.500,6.700,5.100,33,25,120,LOW,1
3,18,18,19,18,3.700,3.700 s,3.700,6.900,5.100,34,25,120,LOW,1
3,19,19,20,19,3.900,3.900 s,3.900,7.100,5.100,35,25,120,LOW,1
3,20,20,21,20,4.100,4.100 s,4.100,7.300,5.100,36,25,120,LOW,1
3,21,21,22,21,4.300,4.300 s,4.300,7.500,5.100,37,25,120,LOW,1
3,22,22,23,22,4.500,4.500 s,4.500,7.700,5.100,38,25,120,LOW,1
3,23,23,24,23,4.700,4.700 s,4.700,7.900,5.100,39,25,120,LOW,1
3,24,24,25,24,4.900,4.900 s,4.900,8.100,5.100,40,25,120,LOW,1
3,25,25,26,25,5.100,5.100 s,5.100,8.300,5.100,41,25,120,LOW,1
3,26,26,27,26,5.300,5.300 s,5.300,8.500,5.100,42,25,120,LOW,1
3,27,27,28,27,5.500,5.500 s,5.500,8.700,5.100,43,25,120,LOW,1
4,7,7,8,8,1.700,1.700 s,1.700,5.900,5.100,29,25,120,LOW,1
4,8,8,9,8,1.700,1.700 s,1.700,5.900,5.100,29,25,120,LOW,1
4,9,9,10,9,1.900,1.900 s,1.900,6.100,5.100,30,25,120,LOW,1
4,10,10,11,10,2.100,2.100 s,2.100,6.300,5.100,31,25,120,LOW,1
4,11,11,12,11,2.300,2.300 s,2.300,6.500,5.100,32,25,120,LOW,1
4,12,12,13,12,2.500,2.500 s,2.500,6.700,5.100,33,25,120,LOW,1
4,13,13,14,13,2.700,2.700 s,2.700,6.900,5.100,34,25,120,LOW,1
4,14,14,15,14,2.900,2.900 s,2.900,7.100,5.100,35,25,120,LOW,1
4,15,15,16,15,3.100,3.100 s,3.100,7.300,5.100,36,25,120,LOW,1
4,16,16,17,16,3.300,3.300 s,3.300,7.500,5.100,37,25,120,LOW,1
4,17,17,18,17,3.500,3.500 s,3.500,7.700,5.100,38,25,120,LOW,1
4,18,18,19,18,3.700,3.700 s,3.700,7.900,5.100,39,25,120,LOW,1
4,19,19,20,19,3.900,3.900 s,3.900,8.100,5.100,40,25,120,LOW,1
4,20,20,21,20,4.100,4.100 s,4.100,8.300,5.100,41,25,120,LOW,1
4,21,21,22,21,4.300,4.300 s,4.300,8.500,5.100,42,25,120,LOW,1
4,22,22,23,22,4.500,4.500 s,4.500,8.700,5.100,43,25,120,LOW,1
5,4,4,5,4,0.900,0.900 s,0.900,6.100,5.100,30,25,120,LOW,1
5,5,5,6,5,1.100,1.100 s,1.100,6.100,5.100,30,25,120,LOW,1
5,6,6,7,6,1.300,1.300 s,1.300,6.300,5.100,31,25,120,LOW,1
5,7,7,8,7,1.500,1.500 s,1.500,6.500,5.100,32,25,120,LOW,1
5,8,8,9,8,1.700,1.700 s,1.700,6.700,5.100,33,25,120,LOW,1
5,9,9,10,9,1.900,1.900 s,1.900,6.900,5.100,34,25,120,LOW,1
5,10,10,11,10,2.100,2.100 s,2.100,7.100,5.100,35,25,120,LOW,1
5,11,11,12,11,2.300,2.300 s,2.300,7.300,5.100,36,25,120,LOW,1
5,12,12,13,12,2.500,2.500 s,2.500,7.500,5.100,37,25,120,LOW,1
5,13,13,14,13,2.700,2.700 s,2.700,7.700,5.100,38,25,120,LOW,1
5,14,14,15,14,2.900,2.900 s,2.900,7.900,5.100,39,25,120,LOW,1
5,15,15,16,15,3.100,3.100 s,3.100,8.100,5.100,40,25,120,LOW,1
5,16,16,17,16,3.300,3.300 s,3.300,8.300,5.100,41,25,120,LOW,1
6,1,1,2,2,0.500,0.500 s,0.500,6.300,5.100,31,25,120,LOW,1
6,2,2,3,2,0.500,0.500 s,0.500,6.300,5.100,31,25,120,LOW,1
6,3,3,4,3,0.700,0.700 s,0.700,6.500,5.100,32,25,120,LOW,1
6,4,4,5,4,0.900,0.900 s,0.900,6.700,5.100,33,25,120,LOW,1
6,5,5,6,5,1.100,1.100 s,1.100,6.900,5.100,34,25,120,LOW,1
6,6,6,7,6,1.300,1.300 s,1.300,7.100,5.100,35,25,120,LOW,1
6,7,7,8,7,1.500,1.500 s,1.500,7.300,5.100,36,25,120,LOW,1
6,8,8,9,8,1.700,1.700 s,1.700,7.500,5.100,37,25,120,LOW,1
6,9,9,10,9,1.900,1.900 s,1.900,7.700,5.100,38,25,120,LOW,1
6,10,10,11,10,2.100,2.100 s,2.100,7.900,5.100,39,25,120,LOW,1
7,0,0,1,0,0.100,0.100 s,0.100,6.700,5.100,33,25,120,LOW,1
7,1,1,2,1,0.300,0.300 s,0.300,6.900,5.100,34,25,120,LOW,1
7,2,2,3,2,0.500,0.500 s,0.500,7.100,5.100,35,25,120,LOW,1
7,3,3,4,3,0.700,0.700 s,0.700,7.300,5.100,36,25,120,LOW,1
